Forward Period,Start Maturity (Years),End Maturity (Years),Forward Rate
1.5 → 2.0,1.5,2.0,0.024005886198557924
2.0 → 2.5,2.0,2.5,0.02600980391686325
2.5 → 3.0,2.5,3.0,0.02801469626598574
3.0 → 3.5,3.0,3.5,0.030020561335838636
3.5 → 4.0,3.5,4.0,0.03202739722100456
4.0 → 4.5,4.0,4.5,0.034035202020747723
4.5 → 5.0,4.5,5.0,0.03604397383897506
5.0 → 5.5,5.0,5.5,0.03805371078425268
5.5 → 6.0,5.5,6.0,0.04006441096975921
6.0 → 6.5,6.0,6.5,0.042076072513312024
6.5 → 7.0,6.5,7.0,0.04408869353731015
7.0 → 7.5,7.0,7.5,0.04610227216877072
7.5 → 8.0,7.5,8.0,0.04811680653926387
8.0 → 8.5,8.0,8.5,0.05013229478495318
